순위,제목,저자,가격
1,트렌드 코리아 2023,김난도 외 ·  미래의창   · 2022.10.05 출시,17,100원
2,사랑은 그렇게 하는 것이 아니다,김달 ·  빅피시   · 2022.10.19 출시,14,850원
3,엄마의 말하기 연습(20만부 기념 스페셜 에디션),박재연 ·  한빛라이프   · 2022.10.05 출시,13,320원
4,반짝이는 하루? 그게 오늘이야,레슬리 마샹 외 ·  미디어숲   · 2022.10.20 출시,15,120원
5,하얼빈,김훈 ·  문학동네   · 2022.08.03 출시,14,400원
6,세상에서 가장 쉬운 본질육아,지나영 ·  21세기북스   · 2022.09.28 출시,16,920원
7,아버지의 해방일지,정지아 ·  창비   · 2022.09.02 출시,13,500원
8,불편한 편의점 2,김호연 ·  나무옆의자   · 2022.08.10 출시,12,600원
9,2022 하반기 에듀윌 취업 온라인 SKCT SK그룹 종합역량검사 통합 기본서,에듀윌 취업연구소 ·  에듀윌   · 2022.06.04 출시,20,700원
10,역행자,자청 ·  웅진지식하우스   · 2022.06.03 출시,15,750원
11,잘될 수밖에 없는 너에게,최서영 ·  북로망스   · 2022.08.18 출시,14,400원
12,바자(BAZAAR)(2022년 11월호),허스트중앙 편집부 ·  허스트중앙   · 2022.10.31 출시,12,260원
13,바자(BAZAAR)(2022년 11월호)(B형),허스트중앙 편집부 ·  허스트중앙   · 2022.10.31 출시,12,260원
14,나는 나를 바꾸기로 했다,우즈훙 외 ·  리드리드출판   · 2022.10.12 출시,14,220원
15,불편한 편의점(40만부 기념 벚꽃 에디션),김호연 ·  나무옆의자   · 2021.04.20 출시,12,600원
16,부의 치트키,김성공 ·  토네이도   · 2022.10.19 출시,15,300원
17,2022 하반기 해커스 GSAT 삼성직무적성검사 실전모의고사 8회분(수리논리/추리),해커스 취업교육연구소 ·  챔프스터디   · 2022.07.07 출시,16,110원
18,올리버쌤의 미국식 아이 영어 습관 365,올리버 그랜트 외 ·  브라이트   · 2022.10.06 출시,20,700원
19,마흔에 읽는 니체,장재형 ·  유노북스   · 2022.09.01 출시,14,400원
20,바자(BAZAAR)(2022년 11월호)(C형),허스트중앙 편집부 ·  허스트중앙   · 2022.10.31 출시,12,260원
21,작은 땅의 야수들,김주혜 외 ·  다산책방   · 2022.09.28 출시,16,200원
22,단순한 열정,아니 에르노 외 ·  문학동네   · 2015.03.30 출시,9,000원
23,심리학이 분노에 답하다,충페이충 외 ·  미디어숲   · 2022.09.30 출시,16,020원
24,파친코 2,이민진 외 ·  인플루엔셜   · 2022.08.25 출시,14,220원
25,파친코 1,이민진 외 ·  인플루엔셜   · 2022.08.05 출시,14,220원
26,원씽(The One Thing)(리커버 특별판),게리 켈러 외 ·  비즈니스북스   · 2013.08.30 출시,12,600원
27,이 책은 돈 버는 법에 관한 이야기,고명환 ·  라곰   · 2022.09.19 출시,15,120원
28,그릿(100쇄 기념 리커버 에디션),앤절라 더크워스 외 ·  비즈니스북스   · 2019.02.20 출시,14,400원
29,부자 아빠 가난한 아빠 1(20주년 특별 기념판),로버트 기요사키 외 ·  민음인   · 2018.02.22 출시,14,220원
30,생각이 많아 우울한 걸까? 우울해서 생각이 많은 걸까?,피아 칼리슨 외 ·  필름(Feelm)   · 2022.09.15 출시,13,500원
31,The Scent of PAGE : 디퓨저 200ml,교보문고 ·  교보문고   · 2018.04.26 출시,45,000원
32,SQL 자격검정 실전문제,한국데이터진흥원 ·  한국데이터산업진흥원   · 2021.10.15 출시,17,820원
33,트렌드 코리아 2023,김난도 외 ·  미래의창   · 2022.09.29(종이책 2022년 10월 05일 출시),13,300원
34,이토록 평범한 미래,김연수 ·  문학동네   · 2022.10.07 출시,12,600원
35,퀀트 투자 무작정 따라하기,강환국 ·  길벗   · 2022.10.10 출시,22,500원
36,사람을 얻는 지혜,발타자르 그라시안 외 ·  타커스   · 2016.03.07 출시,12,420원
37,The Scent of PAGE : 룸스프레이 60ml,교보문고 ·  교보문고   · 2020.03.19 출시,19,000원
38,The Scent of PAGE : 디퓨저 리필액 250ml,교보문고 ·  교보문고   · 2018.04.26 출시,24,000원
39,2022 해커스 SKCT SK그룹 종합역량검사 봉투모의고사,해커스 취업교육연구소 ·  챔프스터디   · 2022.06.16 출시,17,010원
40,데일 카네기 인간관계론,데일 카네기 외 ·  현대지성   · 2019.10.07 출시,10,350원
41,돈의 속성(200쇄 리커버에디션),김승호 ·  스노우폭스북스   · 2020.06.15 출시,16,020원
42,데이터는 어떻게 인생의 무기가 되는가,세스 스티븐스 다비도위츠 외 ·  더퀘스트   · 2022.10.05 출시,16,920원
43,혼자서 종이우산을 쓰고 가다,에쿠니 가오리 외 ·  소담출판사   · 2022.09.20 출시,13,320원
44,저스트. 킵. 바잉.,닉 매기울리 외 ·  서삼독   · 2022.09.21 출시,17,820원
45,믹스(Mix),안성은(Brand Boy) ·  더퀘스트   · 2022.08.16 출시,16,920원
46,너의 이름을 사랑이라 부른다,소강석 ·  시선사   · 2022.09.28 출시,8,100원
47,해외설교(올랜도),박윤식 외 ·  휘선   · 2022.10.11 출시,18,000원
48,오십의 주역공부,김동완 ·  다산초당   · 2022.05.11 출시,16,200원
49,세상의 마지막 기차역,무라세 다케시 외 ·  모모   · 2022.05.09 출시,12,600원
50,해커스 GSAT 삼성직무적성검사 Final 봉투모의고사 4회분,해커스 취업교육연구소 ·  챔프스터디   · 2022.08.11 출시,13,410원
51,2022 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화,최태성 ·  이투스북   · 2022.07.15 출시,17,550원
52,하버드대생 공부법은 당신과 다르다,류쉬안 외 ·  다연   · 2022.09.09 출시,15,300원
53,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,David Cho ·  해커스어학연구소   · 2022.03.14 출시,11,610원
54,ETS 토익 정기시험 기출문제집 1000 Vol 3 LISTENING(리스닝),ETS ·  YBM   · 2021.12.13 출시,16,020원
55,세상이 궁금해서 일찍 나왔니?,이철 ·  예미   · 2022.10.20 출시,14,400원
56,헤어질 결심 스토리보드북,박찬욱 (감독) 외 ·  을유문화사   · 2022.10.20 출시,29,700원
57,부의 추월차선(10주년 스페셜 에디션),엠제이 드마코 외 ·  토트   · 2022.02.04 출시,15,750원
58,ETS 토익 정기시험 기출문제집 1000 Vol 3 READING(리딩),ETS ·  YBM   · 2021.12.13 출시,16,020원
59,나는 당신이 행복했으면 좋겠습니다,박찬위 ·  하이스트   · 2021.11.25 출시,12,420원
60,최소한의 이웃,허지웅 ·  김영사   · 2022.08.22 출시,14,220원
61,기분을 관리하면 인생이 관리된다,김다슬 ·  클라우디아   · 2022.04.12 출시,15,840원
62,2022 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1? 2? 3급)(상),최태성 ·  이투스북   · 2021.12.09 출시,13,500원
63,EBS 만점마무리 봉투모의고사 국어영역 3회분(2022)(2023 수능대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.07.10 출시,7,650원
64,심리학이 조조에게 말하다 1,천위안 외 ·  리드리드출판   · 2022.11.10 출시,16,020원
65,엉뚱소심 유령 탐정단 1: 도서관 유령 소동,도리 힐레스타드 버틀러 외 ·  한빛에듀   · 2022.10.14 출시,11,700원
66,2022 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1? 2? 3급)(하),최태성 ·  이투스북   · 2021.12.09 출시,13,050원
67,EBS 만점마무리 봉투모의고사 영어영역 3회분(2022)(2023 수능대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.07.10 출시,7,200원
68,타이탄의 도구들(블랙 에디션),팀 페리스 외 ·  토네이도   · 2022.06.20 출시,16,200원
69,이기적 유전자(40주년 기념판),리처드 도킨스 외 ·  을유문화사   · 2018.10.20 출시,18,000원
70,4영리에 대하여 들어 보셨습니까(소책자),편집부 ·  한국대학생선교회   · 2013.03.08 출시,140원
71,빠르게 실패하기,존 크럼볼츠 외 ·  스노우폭스북스   · 2022.08.31 출시,14,850원
72,거의 모든 행동 표현의 영어,서영조 ·  사람in   · 2022.03.10 출시,14,400원
73,아주 작은 습관의 힘,제임스 클리어 외 ·  비즈니스북스   · 2019.02.26 출시,14,400원
74,방구석 뮤지컬,이서희 ·  리텍콘텐츠   · 2022.10.17 출시,14,850원
75,나의 투자는 새벽 4시에 시작된다,유목민 ·  리더스북   · 2022.04.15 출시,17,820원
76,10배의 법칙,그랜트 카돈 외 ·  부키   · 2022.03.30 출시,15,120원
77,위로의 미술관,진병관 ·  빅피시   · 2022.08.31 출시,16,920원
78,2022 하반기 All-New SKCT SK그룹 온라인 최신기출유형+모의고사 5회+무료SK특강,SD적성검사연구소 ·  시대고시기획   · 2022.07.01(종이책 2022년 08월 10일 출시),15,400원
79,언어를 디자인하라,유영만 외 ·  쌤앤파커스   · 2022.08.31 출시,15,300원
80,클루지,개리 마커스 외 ·  갤리온   · 2008.11.24 출시,12,420원
81,EBS 고난도 시크릿X 봉투모의고사 영어영역(2022)(2023 수능 대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.09.03 출시,8,550원
82,나는 오래된 거리처럼 너를 사랑하고,진은영 ·  문학과지성사   · 2022.08.31 출시,10,800원
83,어서 오세요? 이야기 수학 클럽에,김민형 ·  인플루엔셜   · 2022.08.29 출시,14,400원
84,EBS Final 실전모의고사 고등 영어영역(2022)(2023 수능대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.04.21 출시,9,900원
85,어서 오세요? 휴남동 서점입니다 (여름 숲 에디션),황보름 ·  클레이하우스   · 2022.01.17 출시,13,500원
86,두레문학(2022년 하반기 제32호),두레문학 편집부 ·  두레문학   · 2022.10.12 출시,9,500원
87,그리고 행복하다는 소식을 들었습니다,이병률 ·  달   · 2022.09.13 출시,14,220원
88,예쁘게 말하는 네가 좋다,김범준 ·  포레스트북스   · 2022.08.08 출시,14,220원
89,가녀장의 시대,이슬아 ·  이야기장수   · 2022.10.07 출시,13,500원
90,기도수첩(Remnant)(2022년 11월호),생명 편집부 ·  생명   · 2022.10.07 출시,4,750원
91,흔한남매의 흔한 호기심 7,안치현 외 ·  미래엔아이세움   · 2022.10.12 출시,12,600원
92,우리는 어디서 살아야 하는가,김시덕 ·  포레스트북스   · 2022.07.20 출시,16,200원
93,2022 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사,해커스 취업교육연구소 ·  챔프스터디   · 2022.01.03 출시,20,610원
94,외사랑,히가시노 게이고 외 ·  소미미디어   · 2022.09.27 출시,16,020원
95,어떻게 말해줘야 할까(60만 부 기념 한정판 리커버),오은영 외 ·  김영사   · 2022.07.20 출시,15,750원
96,2022 하반기 에듀윌 취업 온라인 GSAT 삼성직무적성검사 실전 봉투모의고사 10회,에듀윌 취업연구소 ·  에듀윌   · 2022.08.19 출시,16,200원
97,작별인사(밤하늘 에디션),김영하 ·  복복서가   · 2022.05.02 출시,12,600원
98,오싹오싹 크레용!,에런 레이놀즈 외 ·  토토북   · 2022.08.23 출시,11,700원
99,진짜 쓰는 실무 엑셀,오빠두(전진권) ·  제이펍   · 2022.02.15 출시,18,900원
100,마이클 모부신 운과 실력의 성공 방정식,마이클 모부신 외 ·  에프엔미디어   · 2019.09.20 출시,16,200원
101,교보문고 시그니처 독서대(월넛),교보문고 ·  교보문고   · 2022.08.01 출시,58,500원
102,부의 인문학(20만부 기념 개정증보판),우석 ·  오픈마인드   · 2022.03.21 출시,15,300원
103,좋은 불평등,최병천 ·  메디치미디어   · 2022.09.01 출시,19,800원
104,혼자 공부하는 파이썬,윤인성 ·  한빛미디어   · 2022.06.01 출시,19,800원
105,아몬드(100만 부 기념 특별판),손원평 ·  창비   · 2022.05.12 출시,10,800원
106,EBS Final 실전모의고사 고등 국어영역(2022)(2023 수능대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.04.21 출시,9,900원
107,쎈 중등 수학 2-2(2022),홍범준 외 ·  좋은책신사고   · 2022.01.20 출시,14,400원
108,나는 나의 밤을 떠나지 않는다,아니 에르노 외 ·  열림원   · 2021.07.20 출시,10,800원
109,엄마의 말 연습,윤지영 ·  카시오페아   · 2022.09.22 출시,15,750원
110,대발이는 벚꽃을 좋아해,안도현 ·  봄이아트북스   · 2022.07.25 출시,10,800원
111,변화하는 세계 질서,레이 달리오 외 ·  한빛비즈   · 2022.06.01 출시,34,200원
112,2022 ADsP 데이터 분석 준전문가,윤종식 ·  데이터에듀   · 2022.01.28 출시,25,200원
113,365 부모 말하기 연습 일력,박재연 외 ·  한빛라이프   · 2021.12.01 출시,16,200원
114,마지막 몰입: 나를 넘어서는 힘,짐 퀵 외 ·  비즈니스북스   · 2021.02.23 출시,15,120원
115,문장과 순간,박웅현 ·  인티N   · 2022.09.26 출시,16,200원
116,설민석의 한국사 대모험 22,설민석 외 ·  단꿈아이   · 2022.08.29 출시,11,700원
117,역설계,론 프리드먼 외 ·  어크로스   · 2022.09.13 출시,16,020원
118,다이어트 사이언스(2022),최겸 ·  린체인저스   · 2022.03.23 출시,19,800원
119,2022 에듀윌 취업 SKCT SK그룹 종합역량검사 통합 기본서 최신기출유형+실전ㆍ직무모의고사 5회,에듀윌 취업연구소 ·  에듀윌   · 2022.01.02 출시,20,700원
120,데일 카네기 자기관리론(1948년 초판 완역본),데일 카네기 외 ·  현대지성   · 2021.01.13 출시,10,350원
121,부자의 그릇,이즈미 마사토 외 ·  다산북스   · 2020.12.14 출시,13,500원
122,EBS 만점마무리 봉투모의고사 Red Edition(2022)(2023 수능 대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.09.03 출시,13,050원
123,테라피스트,B. A. 패리스 외 ·  모모   · 2021.12.06 출시,14,400원
124,2023 써니 행정법총론 기출문제집,박준철 ·  에스티유니타스   · 2022.10.17 출시,37,800원
125,우리의 정원,김지현 ·  사계절   · 2022.09.22 출시,10,800원
126,물고기는 존재하지 않는다,룰루 밀러 외 ·  곰출판   · 2021.12.17 출시,15,300원
127,돈? 뜨겁게 사랑하고 차갑게 다루어라,앙드레 코스톨라니 외 ·  미래의창   · 2015.09.30 출시,10,800원
128,능률 VOCA 어원편,NE능률 영어교육연구소 ·  NE능률   · 2021.08.05 출시,13,500원
129,순례 주택,유은실 ·  비룡소   · 2021.03.05 출시,11,700원
130,긴긴밤,루리 외 ·  문학동네   · 2021.02.03 출시,10,350원
131,EBS 만점마무리 봉투모의고사 수학영역 3회분(2022)(2023 수능대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.07.10 출시,7,200원
132,백년허리 2: 치료편,정선근 ·  언탱글링   · 2021.05.13 출시,16,650원
133,단순한 열정,최정수 외 ·  문학동네   · 2016.12.12(종이책 2015년 03월 30일 출시),7,000원
134,무조건 수익 내는 실전 부동산 경매,나땅(이소라) ·  길벗   · 2022.09.25 출시,18,000원
135,벌거벗은 한국사: 인물편,tvN STORY 〈벌거벗은 한국사〉 제작팀 외 ·  프런트페이지   · 2022.08.22 출시,16,920원
136,오은영의 화해,오은영 ·  코리아닷컴   · 2019.01.10 출시,14,400원
137,마음세탁소,황웅근 ·  정신세계사   · 2013.05.03 출시,13,500원
138,오투 중등 과학 3-2(2022),비상교육 편집부 ·  비상교육   · 2022.02.04 출시,15,750원
139,다정한 것이 살아남는다,브라이언 헤어 외 ·  디플롯   · 2021.07.26 출시,19,800원
140,하얼빈,김훈 ·  문학동네   · 2022.08.03(종이책 2022년 08월 03일 출시),11,200원
141,컬러의 방,폴 심프슨 외 ·  윌북   · 2022.10.24 출시,19,800원
142,사로잡는 얼굴들,이사 레슈코 외 ·  가망서사   · 2022.09.30 출시,25,200원
143,참 괜찮은 태도,박지현 ·  메이븐   · 2022.09.30 출시,15,120원
144,내 일로 건너가는 법,김민철 ·  위즈덤하우스   · 2022.09.28 출시,15,120원
145,수학은 어떻게 문명을 만들었는가,마이클 브룩스 외 ·  브론스테인   · 2022.09.21 출시,19,800원
146,EBS 만점마무리 봉투모의고사 사회탐구영역 생활과 윤리 5회분(2022)(2023 수능대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.07.10 출시,5,400원
147,EBS 만점마무리 봉투모의고사 사회탐구영역 사회 문화 5회분(2022)(2023 수능대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.07.10 출시,5,400원
148,월급쟁이 부자로 은퇴하라(10만 부 돌파 기념 증보판),너나위 ·  알에이치코리아   · 2022.06.20 출시,17,820원
149,EBS 수능완성 영어영역 영어(2022)(2023 수능대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.05.23 출시,9,630원
150,2022 해커스 파생상품투자권유자문인력 최종핵심정리문제집+실전모의고사 2회분,민영기 외 ·  해커스금융   · 2022.04.21 출시,24,210원
151,오십에 읽는 논어(교보문고 특별판 리커버),최종엽 ·  유노북스   · 2021.11.03 출시,14,400원
152,삐뽀삐뽀 119 이유식,하정훈 ·  유니책방   · 2017.12.01 출시,17,010원
153,침묵의 봄,레이첼 카슨 외 ·  에코리브르   · 2011.12.30 출시,16,200원
154,레버리지,롭 무어 외 ·  다산북스   · 2019.06.03 출시,14,400원
155,흔한남매 수수께끼 어드벤처 1,노지영 외 ·  미래엔아이세움   · 2022.09.15 출시,12,600원
156,세월,아니 에르노 외 ·  1984BOOKS   · 2022.05.15 출시,13,950원
157,누구에게도 상처받을 필요는 없다,지민석 ·  스튜디오오드리   · 2022.04.08 출시,12,600원
158,EBS 수능특강 영어영역 영어(2022)(2023 수능대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.01.17 출시,8,100원
159,세계미래보고서 2023,박영숙 외 ·  비즈니스북스   · 2022.10.11 출시,16,200원
160,마지막 이야기 전달자,도나 바르바 이게라 외 ·  위즈덤하우스   · 2022.10.05 출시,16,200원
161,한국 교회 트렌드 2023,지용근 외 ·  규장   · 2022.09.15 출시,18,000원
162,다니엘 핑크 후회의 재발견,다니엘 핑크 외 ·  한국경제신문   · 2022.09.15 출시,16,200원
163,어느 날? 내 죽음에 네가 들어왔다,세이카 료겐 외 ·  모모   · 2022.05.09 출시,13,500원
164,오늘 밤? 세계에서 이 사랑이 사라진다 해도,이치조 미사키 외 ·  모모   · 2021.06.28 출시,12,600원
165,지리의 힘,팀 마샬 외 ·  사이   · 2016.08.10 출시,15,300원
166,예비 매3비 매일 지문 3개씩 푸는 비문학 독서 기출,안인숙 ·  키출판사   · 2022.06.29 출시,14,400원
167,사피엔스,유발 하라리 외 ·  김영사   · 2015.11.24 출시,19,800원
168,계절의 위로,서은 ·  지식인하우스   · 2022.08.17 출시,13,950원
169,뇌? 욕망의 비밀을 풀다,한스 게오르크 호이젤 외 ·  비즈니스북스   · 2019.10.04 출시,16,200원
170,김승옥문학상 수상작품집(2022),편혜영 외 ·  문학동네   · 2022.09.30 출시,9,000원
171,2022 단기 합격 해커스공기업 NCS 통합 기본서 직업기초능력평가+직무수행능력평가,윤종혁 외 ·  해커스공기업   · 2022.01.05 출시,20,610원
172,100발100중 중등 영어 3-2 기말고사 기출문제집(동아 윤정미)(2022),에듀원 편집부 ·  에듀원   · 2021.08.24 출시,12,600원
173,스틱,칩 히스 외 ·  엘도라도   · 2009.08.03 출시,13,500원
174,MAXIDENT [GO VER] [한정반],STRAY KIDS(스트레이 키즈) ·  JYP엔터테인먼트   · 2022.10.07 출시,16,300원
175,꽃을 보듯 너를 본다,나태주 ·  지혜   · 2020.11.30 출시,9,000원
176,2022 하반기 All-New 기출이 답이다 SKCT SK그룹 온라인 종합역량검사+무료SK특강,SD적성검사연구소 ·  시대고시기획   · 2022.08.08(종이책 2022년 08월 25일 출시),12,600원
177,2022 하반기 렛유인 GSAT 삼성직무적성검사 Final 봉투모의고사,정지성 외 ·  렛유인   · 2022.09.20 출시,14,400원
178,신인류가 몰려온다,이시형 ·  특별한서재   · 2022.09.16 출시,14,400원
179,EBS 고난도 시크릿X 봉투모의고사 국어영역(2022)(2023 수능 대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.09.03 출시,8,820원
180,흔한남매 11,백난도 외 ·  미래엔아이세움   · 2022.07.28 출시,13,050원
181,인플레이션에서 살아남기,오건영 ·  페이지2북스   · 2022.05.23 출시,16,920원
182,한국보훈복지의료공단 보훈병원 필기시험 실력평가 모의고사,간호사시험연구소 ·  서원각   · 2022.05.13 출시,18,900원
183,큰별쌤 최태성의 별별한국사 7일의 기적 한국사능력검정시험 심화(1? 2? 3급),최태성 ·  이투스북   · 2022.04.08 출시,13,950원
184,쎈 중등 수학 3-2(2022),홍범준 외 ·  좋은책신사고   · 2022.02.07 출시,13,950원
185,매3비 매일 지문 3개씩 푸는 비문학 독서 수능 기출(2022)(2023 수능대비),안인숙 ·  키출판사   · 2021.12.07 출시,15,300원
186,이어령의 마지막 수업,김지수 외 ·  열림원   · 2021.10.28 출시,14,850원
187,당신의 뇌는 최적화를 원한다,가바사와 시온 외 ·  쌤앤파커스   · 2018.05.25 출시,13,500원
188,욕망의 진화,데이비드 버스 외 ·  사이언스북스   · 2013.12.26 출시,19,800원
189,중학영문법 3800제 1학년(2023),마더텅 편집부 ·  마더텅   · 2022.09.13 출시,12,510원
190,아홉 살 마음 사전,박성우 외 ·  창비   · 2017.03.10 출시,9,900원
191,Wonder 영화 <원더> 원작 소설 미국판,R. J. Palacio ·  Random House USA Inc   · 2014.06.01 출시,6,400원
192,장사의 신,우노 다카시 외 ·  쌤앤파커스   · 2012.09.27 출시,12,600원
193,내가 알고 있는 걸 당신도 알게 된다면(리커버 에디션),칼 필레머 외 ·  토네이도   · 2022.09.13 출시,15,300원
194,대한민국 부동산 부의 역사,이상우 외 ·  포레스트북스   · 2022.10.11 출시,19,800원
195,눈물 한 방울,이어령 ·  김영사   · 2022.06.30 출시,14,220원
196,천일문 기본 Basic 1001 Sentences,김기훈 외 ·  쎄듀   · 2021.10.18 출시,17,100원
197,백년허리 1: 진단편,정선근 ·  언탱글링   · 2021.04.15 출시,16,650원
198,아버지의 해방일지,정지아 ·  창비   · 2022.09.08(종이책 2022년 09월 02일 출시),12,000원
199,부자 아빠 가난한 아빠. 1(20주년 특별 기념판),안진환 외 ·  민음인   · 2018.03.20(종이책 2018년 02월 22일 출시),11,000원
200,ADHD 우리 아이 어떻게 키워야 할까,신윤미 ·  웅진지식하우스   · 2022.09.22 출시,16,200원
201,어린이를 위한 역사의 쓸모 2: 고려 시대 - 조선 전기,최태성 외 ·  다산어린이   · 2022.09.21 출시,13,500원
202,2022 하반기 고시넷 NCS 지역농협 6급 오픈봉투모의고사,고시넷 NCS 연구소 ·  고시넷   · 2022.09.05 출시,19,800원
203,어린이를 위한 역사의 쓸모 1: 선사시대~남북국 시대,최태성 외 ·  다산어린이   · 2022.08.17 출시,13,500원
204,EBS 만점마무리 봉투모의고사 한국사영역 5회분(2022)(2023 수능대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.07.10 출시,5,400원
205,멘탈을 바꿔야 인생이 바뀐다,박세니 ·  마인드셋(Mindset)   · 2022.04.30 출시,14,220원
206,해커스 OPIc 오픽 START Intermediate 공략,해커스 오픽연구소 ·  해커스   · 2021.08.23 출시,14,310원
207,소크라테스 익스프레스,에릭 와이너 외 ·  어크로스   · 2021.04.28 출시,16,200원
208,달러구트 꿈 백화점(레인보우 에디션),이미예 ·  팩토리나인   · 2020.07.08 출시,12,420원
209,정리하는 뇌,대니얼 J. 레비틴 외 ·  와이즈베리   · 2015.06.22 출시,19,800원
210,인간 실격,다자이 오사무 외 ·  민음사   · 2012.04.10 출시,8,100원
211,The Scent of PAGE : 차량용 방향제,교보문고 ·  교보문고   · 2021.12.16 출시,36,000원
212,위라클(WERACLE),박위 ·  토기장이   · 2022.09.05 출시,13,500원
213,한반도에 지저스 웨이브가 온다,김성욱 ·  세이지   · 2022.09.07 출시,16,200원
214,미움받을 용기,기시미 이치로 외 ·  인플루엔셜   · 2014.11.17 출시,13,410원
215,코스모스,칼 세이건 외 ·  사이언스북스   · 2010.01.20 출시,17,910원
216,이것은 작은 브랜드를 위한 책,이근상 ·  몽스북   · 2021.12.24 출시,14,220원
217,사건,아니 에르노 외 ·  민음사   · 2019.11.01 출시,9,720원
218,미술관에 간 바이올리니스트,이수민 외 ·  크레타   · 2022.10.25 출시,16,200원
219,매거진 B(Magazine B) No.91: Hawaii(한글판),매거진 B 편집부 ·  비미디어컴퍼니 주식회사(제이오에이치)   · 2022.10.11 출시,19,000원
220,예민한 아이를 위한 부모 수업,일레인 N. 아론 외 ·  웅진지식하우스   · 2022.10.11 출시,16,200원
221,미술관을 빌려드립니다: 프랑스,이창용 ·  더블북   · 2022.10.05 출시,17,550원
222,운명을 바꾸는 부동산 투자 수업(11만 부 기념 바이블 에디션),부동산읽어주는남자(정태익) ·  리더스북   · 2022.09.30 출시,27,000원
223,위대한 과학 고전 30권을 1권으로 읽는 책,김성근 ·  빅피시   · 2022.09.28 출시,16,020원
